"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"175","C8_QI611",7627,-0.0131596059931756,0.00923953903246497,0.154436221269736,"lmer",0.47356375487663
"176","C8_QI659",7627,-0.00274491599051193,0.00912173567384007,0.76348898817301,"lmer",0.909498300966243
"177","C8_QI699",7627,-0.016822608768592,0.00976050736153469,0.084859259479113,"lmer",0.332420406093621
"178","C8_QI791",7627,-0.00952669016988746,0.00930231513702049,0.305832582277697,"lmer",0.620541778358251
"179","C8_QI11467",7627,-0.0153533193578301,0.00854130948126391,0.0723170524085757,"lmer",0.332420406093621
"180","C8_QI11450",7627,-0.0120702220221881,0.00933126556556158,0.195894908936645,"lmer",0.526606873317268
"181","C8_QI11446",7623,-0.0237281551425612,0.00918649680117634,0.00982704254944192,"lmer",0.139127839792122
"182","C8_QI879",7627,-0.00886956960467873,0.00929710712485603,0.340126862431495,"lmer",0.662959138637661
"183","C8_QI887",7627,0.00690680113313235,0.00948691639779107,0.466630009824344,"lmer",0.732576506813801
"184","C8_QI11354",7627,0.000288466958459942,0.00939921011366454,0.975517668969738,"lmer",0.986366722236439
"185","C8_QI11299",7607,-0.00536221174026885,0.00972751067625123,0.581495493598285,"lmer",0.796095020997652
"186","C8_QI11274",7627,-0.00964630012645452,0.00949909065642472,0.309922202021413,"lmer",0.620541778358251
"187","C8_QI11207",7626,3.57161457006093e-05,0.00975385566074898,0.997078516491023,"lmer",0.997078516491023
"188","C8_QI11062",7627,-0.00727348217174648,0.00975064461577857,0.455736790696451,"lmer",0.72289284041506
"189","C8_QI1170",7627,-0.0121256018642654,0.00855720749640379,0.156550515104999,"lmer",0.47356375487663
"190","C8_QI1202",7627,-0.0088863222717377,0.0096107481002386,0.355211096790473,"lmer",0.675194646791809
"191","C8_QI1244",7627,-0.0135095253288934,0.00975737722357921,0.166259099928852,"lmer",0.48376994108349
"192","C8_QI10998",7627,-0.0224240199236118,0.00955474121741695,0.0189727297529587,"lmer",0.189727297529587
"193","C8_QI1352",7627,-0.0161998442434385,0.00931767468414356,0.0821695895773247,"lmer",0.332420406093621
