"","Estimate","StdErr","z.value","p.value"
"C8_QI10726",-0.00109746029595332,NA,NA,NA
"C8_QI1514",-0.00057854476100036,NA,NA,NA
"C8_QI10722",-0.000951515078655999,NA,NA,NA
"C8_QI1542",0,NA,NA,NA
"C8_QI10698",0,NA,NA,NA
"C8_QI1560",-0.000648080087859425,NA,NA,NA
"C8_QI10686",-0.00052454521555303,NA,NA,NA
"C8_QI10680",-0.00119760874316817,NA,NA,NA
"C8_QI10666",0,NA,NA,NA
"C8_QI1567",-0.000349069747716323,NA,NA,NA
"C8_QI1575",0,NA,NA,NA
"C8_QI10644",0,NA,NA,NA
"C8_QI1581",0,NA,NA,NA
"C8_QI1620",0,NA,NA,NA
"C8_QI10615",0,NA,NA,NA
"C8_QI1615",0,NA,NA,NA
"C8_QI10587",0,NA,NA,NA
"C8_QI10545",0,NA,NA,NA
"C8_QI1756",0,NA,NA,NA
"C8_QI10487",0,NA,NA,NA
"C8_QI1754",0,NA,NA,NA
"C8_QI1778",0,NA,NA,NA
"C8_QI10448",-0.000448734746529557,NA,NA,NA
"C8_QI1808",0,NA,NA,NA
"C8_QI10423",-0.000202172994758331,NA,NA,NA
"C8_QI1817",-0.000122129055205456,NA,NA,NA
"C8_QI1828",0,NA,NA,NA
"C8_QI10390",0,NA,NA,NA
"C8_QI10384",0,NA,NA,NA
"C8_QI10391",0,NA,NA,NA
"C8_QI10392",-0.00172462756957152,NA,NA,NA
"C8_QI1850",0.0589640144718688,NA,NA,NA
"C8_QI10327",0,NA,NA,NA
"C8_QI1942",0,NA,NA,NA
"C8_QI1950",-0.00127865370291142,NA,NA,NA
"C8_QI10256",-0.00134446124614129,NA,NA,NA
"C8_QI1958",-0.000119734254267276,NA,NA,NA
"C8_QI1983",0,NA,NA,NA
"C8_QI1987",0,NA,NA,NA
"C8_QI1990",-0.000811031644557836,NA,NA,NA
"C8_QI10254",-0.00134487544096872,NA,NA,NA
"C8_QI10253",0,NA,NA,NA
"C8_QI10233",0,NA,NA,NA
"C8_QI2028",-0.000322325667600949,NA,NA,NA
"C8_QI2064",0,NA,NA,NA
"C8_QI2061",0,NA,NA,NA
"C8_QI10100",0,NA,NA,NA
"C8_QI2135",0,NA,NA,NA
"C8_QI10082",0,NA,NA,NA
"C8_QI2157",-0.00102855183413576,NA,NA,NA
"C8_QI2158",-0.000485699808307828,NA,NA,NA
"C8_QI10083",-0.000686036529721795,NA,NA,NA
"C8_QI10081",0,NA,NA,NA
"C8_QI10074",0,NA,NA,NA
"C8_QI10070",0,NA,NA,NA
"C8_QI2181",0,NA,NA,NA
"C8_QI10031",0,NA,NA,NA
"C8_QI10015",0,NA,NA,NA
"C8_QI2229",0,NA,NA,NA
"C8_QI10014",0,NA,NA,NA
"C8_QI2236",0,NA,NA,NA
"C8_QI9988",0,NA,NA,NA
"C8_QI9990",-0.00120678164353211,NA,NA,NA
"C8_QI9972",0,NA,NA,NA
"C8_QI2288",0,NA,NA,NA
"C8_QI2290",0,NA,NA,NA
"C8_QI2287",0,NA,NA,NA
"C8_QI2304",0,NA,NA,NA
"C8_QI2318",0,NA,NA,NA
"C8_QI9922",0,NA,NA,NA
"C8_QI2329",0,NA,NA,NA
"C8_QI2343",0,NA,NA,NA
"C8_QI9896",0,NA,NA,NA
"C8_QI2361",0,NA,NA,NA
"C8_QI9873",0,NA,NA,NA
"C8_QI2435",0,NA,NA,NA
"C8_QI2456",0,NA,NA,NA
"C8_QI2479",0,NA,NA,NA
"C8_QI2481",0,NA,NA,NA
"C8_QI9747",0,NA,NA,NA
"C8_QI2506",0,NA,NA,NA
"C8_QI9743",0,NA,NA,NA
"C8_QI2507",0,NA,NA,NA
"C8_QI9694",0,NA,NA,NA
"C8_QI9689",0,NA,NA,NA
"C8_QI2563",0,NA,NA,NA
"C8_QI9661",0,NA,NA,NA
"C8_QI2590",0,NA,NA,NA
"C8_QI9635",0,NA,NA,NA
"C8_QI2612",0,NA,NA,NA
"C8_QI9629",0,NA,NA,NA
"C8_QI9619",-0.000251900938898221,NA,NA,NA
"C8_QI2625",0,NA,NA,NA
"C8_QI2623",0,NA,NA,NA
"C8_QI9593",0,NA,NA,NA
"C8_QI2667",0,NA,NA,NA
"C8_QI2673",0,NA,NA,NA
"C8_QI2685",-0.00130593375159291,NA,NA,NA
"C8_QI9524",0,NA,NA,NA
"C8_QI2748",0,NA,NA,NA
"C8_QI2743",0,NA,NA,NA
"C8_QI2749",0,NA,NA,NA
"C8_QI9485",0,NA,NA,NA
"C8_QI2759",0,NA,NA,NA
"C8_QI9453",-0.00114915610326715,NA,NA,NA
"C8_QI2788",0,NA,NA,NA
"C8_QI2801",0,NA,NA,NA
"C8_QI2810",0,NA,NA,NA
"C8_QI2821",0,NA,NA,NA
"C8_QI2842",0,NA,NA,NA
"C8_QI9394",0,NA,NA,NA
"C8_QI9375",0,NA,NA,NA
"C8_QI9351",0,NA,NA,NA
"C8_QI2890",0,NA,NA,NA
"C8_QI2905",-0.00111245010087415,NA,NA,NA
"C8_QI9336",-0.00135399791436771,NA,NA,NA
"C8_QI9322",0,NA,NA,NA
"C8_QI2930",0,NA,NA,NA
"C8_QI9301",0,NA,NA,NA
"C8_QI2955",0,NA,NA,NA
"C8_QI2973",0,NA,NA,NA
"C8_QI2964",0,NA,NA,NA
"C8_QI9262",0,NA,NA,NA
